File Name,Call Type,Length (seconds),Start Time,Trap Number
Crossroad-120320_224502-S496-E520,Male,24.0,2020-03-13 11:53,Secretary_Island/Crossroad
Crossroad-120320_224502-S522-E532,Female,10.0,2020-03-13 11:53,Secretary_Island/Crossroad
Crossroad-120320_234502-S361-E385,Male,24.0,2020-03-13 12:51,Secretary_Island/Crossroad
Crossroad-120419_223002-S708-E723,Male,15.0,2019-04-13 10:41,Secretary_Island/Crossroad
Crossroad-120419_223002-S728-E740,Female,12.0,2019-04-13 10:42,Secretary_Island/Crossroad
Crossroad-120419_223002-S741-E762,Male,21.0,2019-04-13 10:42,Secretary_Island/Crossroad
Crossroad-120419_224502-S232-E244,Female,12.0,2019-04-13 10:48,Secretary_Island/Crossroad
Crossroad-120419_224502-S245-E263,Male,18.0,2019-04-13 10:49,Secretary_Island/Crossroad
Crossroad-120419_224502-S466-E478,Male,12.0,2019-04-13 10:52,Secretary_Island/Crossroad
Crossroad-120419_224502-S490-E496,Male,6.0,2019-04-13 10:53,Secretary_Island/Crossroad
Crossroad-120419_230002-S882-E898,Male,16.0,2019-04-13 11:14,Secretary_Island/Crossroad
Crossroad-120419_231502-S1-E12,Male,11.0,2019-04-13 11:15,Secretary_Island/Crossroad
Crossroad-120419_231502-S520-E530,Male,10.0,2019-04-13 11:23,Secretary_Island/Crossroad
Crossroad-120419_231502-S552-E559,Male,7.0,2019-04-13 11:24,Secretary_Island/Crossroad
Crossroad-120419_231502-S776-E802,Male,26.0,2019-04-13 11:27,Secretary_Island/Crossroad
Crossroad-120419_233002-S334-E364,Male,30.0,2019-04-13 11:35,Secretary_Island/Crossroad
Crossroad-120419_233002-S52-E59,Male,7.0,2019-04-13 11:30,Secretary_Island/Crossroad
Crossroad-120519_231502-S538-E545,Male,7.0,2019-05-13 11:24,Secretary_Island/Crossroad
Crossroad-130320_220001-S883-E896,Male,13.0,2020-03-14 11:14,Secretary_Island/Crossroad
Crossroad-130320_224502-S772-E802,Male,30.0,2020-03-14 11:57,Secretary_Island/Crossroad
Crossroad-130320_231502-S750-E768,Male,18.0,2020-03-14 12:27,Secretary_Island/Crossroad
Crossroad-130320_231502-S816-E834,Male,18.0,2020-03-14 12:28,Secretary_Island/Crossroad
Crossroad-130320_231502-S876-E898,Male,22.0,2020-03-14 12:29,Secretary_Island/Crossroad
Crossroad-130320_234502-S187-E205,Male,18.0,2020-03-14 12:48,Secretary_Island/Crossroad
Crossroad-130320_234502-S362-E375,Male,13.0,2020-03-14 12:51,Secretary_Island/Crossroad
Crossroad-130419_220001-S338-E359,Male,21.0,2019-04-14 10:05,Secretary_Island/Crossroad
Crossroad-130419_220001-S8-E23,Male,15.0,2019-04-14 10:00,Secretary_Island/Crossroad
Crossroad-130420_224502-S600-E621,Male,21.0,2020-04-14 10:55,Secretary_Island/Crossroad
Crossroad-130519_220001-S425-E453,Male,28.0,2019-05-14 10:07,Secretary_Island/Crossroad
Crossroad-130519_224502-S727-E739,Female,12.0,2019-05-14 10:57,Secretary_Island/Crossroad
Crossroad-130519_224502-S740-E758,Male,18.0,2019-05-14 10:57,Secretary_Island/Crossroad
Crossroad-130519_230002-S315-E327,Female,12.0,2019-05-14 11:05,Secretary_Island/Crossroad
Crossroad-130519_230002-S338-E356,Male,18.0,2019-05-14 11:05,Secretary_Island/Crossroad
Crossroad-140319_230002-S196-E220,Male,24.0,2019-03-15 12:03,Secretary_Island/Crossroad
Crossroad-140319_231502-S718-E728,Male,10.0,2019-03-15 12:27,Secretary_Island/Crossroad
Crossroad-140319_233002-S190-E203,Male,13.0,2019-03-15 12:33,Secretary_Island/Crossroad
Crossroad-140319_233002-S241-E251,Male,10.0,2019-03-15 12:34,Secretary_Island/Crossroad
Crossroad-140319_233002-S792-E810,missing,18.0,2019-03-15 12:43,Secretary_Island/Crossroad
Crossroad-140320_220001-S779-E785,Male,6.0,2020-03-15 11:13,Secretary_Island/Crossroad
